"-- None --","-- Ingen --"
"Active","Aktiv"
"Add Banner","Lägg till banner"
"An error occurred while deleting banner data. Please review log and try again.","An error occurred while deleting banner data. Please review log and try again."
"An error occurred while mass deleting banners. Please review log and try again.","An error occurred while mass deleting banners. Please review log and try again."
"Any","Any"
"Any Banner Type","Vilken bannertyp som helst"
"Applies To","Applies To"
"Applies to Any of the Specified Customer Segments","Applicera på någon av följande kundsegment"
"Are you sure you want to delete these banners?","Are you sure you want to delete these banners?"
"Banner Block Template","Banner Block Template"
"Banner Default Content for All Store Views","Innehåll för alla butiker"
"Banner Information","Banner information"
"Banner Inline Template","Banner Inline Template"
"Banner Name","Banner Name"
"Banner Properties","Banner inställningar"
"Banner Rotator","Banner Rotator"
"Banner Types","Bannertyp"
"Banners","Banners"
"Banners to Display","Banners to Display"
"CMS","CMS"
"Catalog Promotions Related","Catalog Promotions Related"
"Content","Content"
"Content Area","Content Area"
"Customer Segments","Customer Segments"
"Default Content","Förvalt innehåll"
"Delete","Delete"
"Delete Banner","Ta bort banner"
"Displays Specified or Promotion Banners","Displays Specified or Promotion Banners"
"Do not rotate, display all at once","Do not rotate, display all at once"
"Edit Banner","Edit Banner"
"Footer","Footer"
"Header","Header"
"ID","ID"
"Left Column","Left Column"
"Manage Banners","Hantera banners"
"Name must not be empty.","Name must not be empty."
"New Banner","Ny banner"
"No","No"
"No Default Content","Inget förvalt innehåll"
"One at the time, Random","One at the time, Random"
"One at the time, Series","One at the time, Series"
"One at the time, Shuffle","One at the time, Shuffle"
"Please select banner(s).","Please select banner(s)."
"Please specify default content for at least one store view.","Please specify default content for at least one store view."
"Position","Position"
"Related Banners","Relaterade Banners"
"Related Catalog Price Rules","Relaterade prisregler för catalog"
"Related Promotions","Relaterade prisregler"
"Related Shopping Cart Price Rules","Relaterade prisregler för varukorg"
"Restrict by Banner Types","Begränsat av följande bannertyper"
"Right Column","Right Column"
"Rotation Mode","Rotation Mode"
"Save Banner","Spara banner"
"Save and Continue Edit","Save and Continue Edit"
"Shopping Cart Promotions Related","Shopping Cart Promotions Related"
"Specified","Specified"
"Specified Banner Types","Specificerade bannertyp"
"Specified Banners","Specified Banners"
"Specify Banners","Specify Banners"
"Specify Types","Specificera typ"
"Store View Specific Content","Butiksspecifikt innehåll"
"The banner has been deleted.","Bannern har tagigts bort."
"The banner has been saved.","Bannern har sparats."
"This banner no longer exists.","This banner no longer exists."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Unable to find a banner to delete.","Unable to find a banner to delete."
"Unable to save the banner.","Unable to save the banner."
"Use Default","Use Default"
"Visible In","Visible In"
"Yes","Yes"
