"%s is required.","%s is required."
"Action","Action"
"Add Catalog Event","Lägg till kataloghändelse"
"Add Event...","Lägg till händelse..."
"An error occurred while saving this event.","An error occurred while saving this event."
"Back to Category","Tillbaka till kategorin"
"Block Custom Width","Block Custom Width"
"Catalog","Catalog"
"Catalog Event Information","Information"
"Catalog Events","Kataloghändelser"
"Catalog Events Carousel","Catalog Events Carousel"
"Catalog Events Carousel Default Template","Catalog Events Carousel Default Template"
"Categories","Categories"
"Category","Category"
"Category ID","Kategory ID"
"Category Page","Kategorisida"
"Closed","Closed"
"Coming Soon","Coming Soon"
"Default Values","Default Values"
"Default value. Override in CMS using limit=""x"" variable. If empty, there will be no limitation.","Förvalt värde. Överskrid i CMS genom att använda limit=""x"" variabeln. Om detta fält lämnas tomt kommer det inte finnas någon begränsning."
"Default value. Override in CMS using scroll=""x"" variable.","Förvalt värde. Överskrid i CMS genom att använda scroll=""x"" variabeln."
"Display Countdown Ticker On","Visa countdown på"
"Edit","Edit"
"Edit Catalog Event","Ändra händelse"
"Edit Event...","Ändra händelse..."
"Enable Catalog Event Widget on the Frontend","Aktivera widget för kataloghändelser i frontend"
"Enable Catalog Events Functionality","Aktivera kataloghändelser"
"End Date","Slutdatum"
"End date should be greater than start date.","End date should be greater than start date."
"Ends On","Slutar den"
"Event for selected category","Händelse för den valda kategorin"
"Event has been deleted.","Händelsen har tagits bort."
"Event has been saved.","Händelsen har sparats."
"Events","Events"
"Events to Scroll per Click in Event Slider Widget","Händelser att skrolla per klick i widgeten"
"Frame Size","Frame Size"
"Go To Sale","Go To Sale"
"ID","ID"
"Image","Image"
"Image was not uploaded.","Image was not uploaded."
"List all open Catalog Events as a Paginated Carousel","List all open Catalog Events as a Paginated Carousel"
"Lister Block","Lister Block"
"Manage Catalog Events","Hantera kataloghändelser"
"New Event","New Event"
"Number of Events to be Displayed in Event Slider Widget","Antal händelser att visa i widgeten"
"Number of Items to display at once","Number of Items to display at once"
"Number of Items to scroll per click","Number of Items to scroll per click"
"Open","Open"
"Preview Sale","Preview Sale"
"Product Page","Produktsida"
"Sale Ends In","Sale Ends In"
"Sale was closed for this product.","Sale was closed for this product."
"Save and Continue Edit","Save and Continue Edit"
"Scroll","Scroll"
"Select Category","Select Category"
"Some products are not salable anymore.","Some products are not salable anymore."
"Sort Order","Sort Order"
"Start Date","Start Date"
"Starts On","Börjar den"
"Status","Status"
"Upcoming","Kommande"
"Use Default Value","Use Default Value"
"View Sale","View Sale"
"Width in Pixels. If empty, will be determined automatically","Width in Pixels. If empty, will be determined automatically"
